variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
qg9_s_1,工作保障：选择1,23665,10.912614,33.08712,-8,-8,-8,-8,-8,-8,2,78,78,78,78,1.5001674,3.3308139
qg9_s_2,工作保障：选择2,23665,-6.0285654,4.0220547,-8,-8,-8,-8,-8,-8,-8,2,2,4,5,1.5633991,3.4824309
qg9_s_3,工作保障：选择3,23665,-6.0678215,4.1933398,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.715106,3.9567003
qg9_s_4,工作保障：选择4,23665,-6.0401015,4.4146886,-8,-8,-8,-8,-8,-8,-8,4,4,4,5,1.8161241,4.316339
qg9_s_5,工作保障：选择5,23665,-6.0125923,4.6283088,-8,-8,-8,-8,-8,-8,-8,5,5,5,5,1.913568,4.6908827
qg9_a_1,工作保障：是否提供养老保险,23665,-4.3612928,4.2029166,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30150875,1.115555
qg9_a_2,工作保障：是否提供医疗保险,23665,-4.3588424,4.20575,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30149561,1.1154852
qg9_a_3,工作保障：是否提供失业保险,23665,-4.3895202,4.170043,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30130696,1.1156797
qg9_a_4,工作保障：是否提供工伤保险,23665,-4.3649693,4.1986604,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30151945,1.1156425
qg9_a_5,工作保障：是否提供生育保险,23665,-4.400507,4.1571255,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30104589,1.1153697
qg9_a_78,工作保障：是否以上都没有,23665,-4.3672934,4.1959662,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.30152065,1.1156873
qg901,每月个人缴费额(元),23665,124.10277,605.1095,-8,-8,-8,-8,-8,-8,-8,450,800,2000,70000,66.870239,7528.2915
qg10,是否提供住房公积金,23665,-4.9847455,4.01717,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.59253496,1.3743511
